Id,Old Name,New Name,Notes
1982,tasty tokes Infused Pre-roll Orange Creamsicle - 0.80g,New Leaf Enterprises Tasty Tokes Orange Creamsicle Infused Pre-roll 0.8g,renamed
1942,Twisted Disposable Cartridge Purple Washington Apple Bowl - 1g,Bellevue Cannabis Company Twisted Purple Washington Apple Bowl Disposable,renamed
1902,Moonshot Hash Rosin Beverage Black Cherry CBN - 1.7oz,Alpha Crux Llc Moonshot Hash Rosin Black Cherry CBN Beverage 1.7floz,renamed
1839,Moonshot Hash Rosin Beverage Tropical Punch CBC - 1.7oz,Alpha Crux Llc Moonshot Hash Rosin Tropical Punch CBC Beverage 1.7floz,renamed
1783,Method Rosin Lemon Maraschino - 1g,Crimsoneye Farms Llc Method Lemon Maraschino Rosin 1g,renamed
1739,Phat Yeti Live Resin Lemon Cake - 1g,Grow Bros Phat Yeti Lemon Cake Live Resin 1g,renamed
1708,Hellavated Gummies Strawberry Haze - 2.50oz,Avitas Hellavated Strawberry Haze Gummies 2.5oz,renamed
1588,Ola Savor (GG#4) - 0.4oz,Skagit Organics Ola Savor (gg 4) Other Liquid Edible 0.4floz,renamed
1542,Mama J's Pre-roll Hidden Pastry - 5g,Mama Js Mama J's Hidden Pastry Pre-roll 5g,renamed
1520,Mama J's Flower Forbidden Wife - 3.5g,Mama Js Mama J's Forbidden Wife Flower 3.5g,renamed
1515,Fireline Pre-roll Blackberry Chem OG - 4g,Fireline Cannabis Blackberry Chem Og Pre-roll 4g,renamed
1500,Bodhi High Disposable Cartridge G-Soap - 1g,Conscious Cannabis Bodhi High G-soap Disposable Cartridge 1g,renamed
1450,Wild Mint Topical Chill - 3oz,Wild Mint Chill Topical 3oz,renamed
1433,Skagit Organics Cartridge Harlequin - 1g,Skagit Organics Harlequin Cartridge 1g,renamed
1432,Ola Bright (SLH) - 2oz,Skagit Organics Ola Bright (slh) Other Liquid Edible 2floz,renamed
1430,Wild Mint Bath Salts Tootsies Foot Soak - 0.7oz,Wild Mint Tootsies Foot Soak Bath Salts 0.7oz,renamed
1407,Mama J's Pre-roll Sour Jack - 5g,Mama Js Mama J's Sour Jack Pre-roll 5g,renamed
1385,Mama J's Pre-roll Golden Pineapple - 3.5g,Mama Js Mama J's Golden Pineapple Pre-roll 3.5g,renamed
1361,Full Spec Infused Pre-roll Cocoa Kitty - 1.5g,Edgemont Group Full Spec Cocoa Kitty Infused Pre-roll 1.5g,renamed
1345,Moonshot Hash Rosin Beverage Black Cherry CBN - 1.7oz,Alpha Crux Llc Moonshot Hash Rosin Black Cherry CBN Beverage 2,renamed
1323,Lifted Flower Wedding Cake - 1g,Lifted Cannabis Lifted Wedding Cake Flower 4,renamed
1318,Ola Savor (GG#4) - 2oz,Skagit Organics Ola Savor (gg 4) Other Liquid Edible 2floz,renamed
1270,Swell Mints Cinnamon (Sativa) - 0.49oz,Jms. Consultants Swell Cinnamon (sativa) Mints 0.49oz,renamed
1231,Rooted BHO white rainbow - 1g,Lifted Cannabis Rooted White Rainbow Bho 1g,renamed
1227,Mama J's Pre-roll Lemon Cherry Gelato - 5g,Mama Js Mama J's Lemon Cherry Gelato Pre-roll 5g,renamed
1220,Fireline Pre-roll Blue Tangie - 1g,Fireline Cannabis Blue Tangie Pre-roll 1g,renamed
