Id,Old Name,New Name,Notes
,Journeyman Mango Lemonade Jellies,Journeyman Mango Lemonade Gummies 85g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Second Nature Flower 28g / Orangasm,Second Nature Orangasm Flower 28g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,"Loconut - LO TOPICAL (1,000mg THC) - Indica - 20mg",Clarity Farms Indica Topical 20mg,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Skagit Organics RSO Omega 1g,Skagit Organics Omega RSO 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Redneck Wedding 2pk 0.5g Prerolls,Phat Panda Redneck Wedding Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,SIGNATURE Pre-Roll - Swampwater Fumez - 2pk,Subx Swampwater Fumez Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_3_duplicates;renamed
,A.C. Topical Drops - 1000mg THC,Agro Couture Drops 1000mg Tincture 1floz,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Mr. Moxey Mints Relief Ginger 1:1:1 - 0.42oz,Mr. Moxey Relief Ginger 5:1:5 Mints 0.42oz,no_vendor_column;no_cannabinoid_columns;renamed
,Fireline Live Hash Rosin - Mars OG (I) - 01g,Fireline Mars Og Rosin 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Premium Trichome Raw Flower - Crop CircleZ - 3.5g,Trichome Crop Circlez Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Green Reaper - Indoor Popcorn Flower - Candy Gas - 28g,Green Reaper Candy Gas Flower 28g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Honey Stixx - 1pk - Flavored Infused Preroll - Berry Blue Dream - Sativa - 0.75g,Honey Stixx Berry Blue Dream Infused Pre-roll 0.75g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Northwest concentrates live resin candy fumez 1g,Northwest Concentrates Candy Fumez Live Resin 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Heavenly Buds - Frosin - Papaya Melonz #7 DOH - 1g,Heavenly Buds Papaya Melonz 7 Rosin 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,FL BAG 28g SUNSHINE - Blueberry Kush,Sunshine Blueberry Kush Flower 28g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,BITE_IND_PEANUT_BUTTER_CHIP_1:1_10PK,Ceres Peanut Butter Chocolate 62g,no_vendor_column;no_cannabinoid_columns;master_of_3_duplicates;renamed
,Tasty Terps - TT BHO 1g - Strawberry Kiwi Dum Dum - 1g,Clarity Farms Strawberry Kiwi Dum Dum Bho 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Fire Bros-Disposable Cartridge-Trop Kick-1g,Fire Bros Trop Kick Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,FDG Pre-Rolls - GG #4 - 2pk (0.5g x 2),Fdg Gg4 Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Smokiez Fruit Chews Sour Guava Live Resin Indica - 2.12oz,Smokiez Sour Guava Live Resin Fruit Chews 2.12oz,no_vendor_column;no_cannabinoid_columns;renamed
,Torus - Pre-Rolls - Perzimmon - 1g,Torus Perzimmon Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
,MFused - Cartridge - Lemon Cherry Gelato (I) - 1g,Mfused Lemon Cherry Gelato Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_3_duplicates;renamed
,SMC - Disposable Smokeless - Pina Colada - 1g,Seattle Marijuana Co Pina Colada Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Canna Organix Flower Forbidden Fruit - 3.5g,Canna Organix Forbidden Fruit Flower 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Legit Gold Mini Infused Pre-roll Golden Pineapple - 0.6g,Legit Gold Mini Golden Pineapple Infused Pre-roll 0.6g,no_vendor_column;no_cannabinoid_columns;renamed
,Green Revolution Mini Doozies Blue Raspberry 1:1:1 Nighttime + Melatonin,Doozies Blue Raspberry Edible 60g,no_vendor_column;no_cannabinoid_columns;renamed
,House of Cultivar Grand Cru Rosin Ice Cream Truck - 1g,House Of Cultivar Grand Cru Ice Cream Truck Rosin 1g,no_vendor_column;no_cannabinoid_columns;renamed
,The Hunt Joint - Sugar Rainbow Luxe - 1g,Freddy's Fuego Sugar Rainbow Luxe Flower 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,RSO Platinum - ATF - Sativa - 1g,Skagit Organics Atf RSO 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Reaper Diamonds (THCA) - Bruce Banner - 1g,Greenrush Bruce Banner THCA 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Hellavated Pre-roll Bomb Popz - 0.75g,Hellavated Bomb Popz Pre-roll 0.75g,no_vendor_column;no_cannabinoid_columns;renamed
,Picc Pre-roll Project Pound Cake 1g,Picc Project Pound Cake Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Just The Tip,Just The Tip,no_vendor_column;no_cannabinoid_columns;noncannabis_cleaned_original_name;master_of_2_duplicates
,Freddy's Finest Flower - Pineapple Bang - 3.5g,Freddy's Fuego Pineapple Bang Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_3_duplicates;renamed
,Torus - Infused Glass Tip - Raspberry Smoothie x Ginger Pop - 1g,Torus Raspberry Smoothie X Ginger Pop Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Seattle Bubble Works-Flower Joint - Wedding Cake (I) - 0.5g,Wedding Cake Pre-roll 0.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Packaged Flower - Peach Ringz - 3.5g,Fdg Peach Ringz Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Hellavated Gummies Blueberry Blitz Sourz - 2.60oz,Hellavated Blueberry Blitz Sourz Gummies 2.6oz,no_vendor_column;no_cannabinoid_columns;renamed
,Kelso Kandy - KK TERP+INF PR .8g (Single) - Blue Hawaiian - .8g,Clarity Farms Blue Hawaiian Infused Pre-roll 0.8g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,SUBX [DOH] SIGNATURE Flower - Poipu Rain - 7g,Subx Poipu Rain Flower 7g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Shatter J's - Infused Pre-roll - Raspberry Lemonade-1g,Shatter J's Raspberry Lemonade Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Dungeness Dank - Flower Lot - Du Ma OG - 3.5g,Dungeness Dank Du Ma Og Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Phat Panda Flower Golden Pineapple - 3.5g,Phat Panda Golden Pineapple Flower 3.5g,no_vendor_column;no_cannabinoid_columns;renamed
,Mama J's - Bubble Hash Preroll Packs - RS11 - 0.5gx2,Mama J's Rs11 Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Stone City Flower Chocolatina - 14g,Stone City Chocolatina Flower 14g,no_vendor_column;no_cannabinoid_columns;renamed
